AthleteID,EventID,MedalID
4,4,0
26388,4,2
49004,4,2
101007,4,0
123872,4,2
125215,4,0
131721,4,0
133278,4,0
153037,4,0
10096,4,2
56156,4,2
119256,4,2
13,17,0
43843,17,2
59802,17,0
77024,17,0
107516,17,1
117138,17,2
120539,17,0
121647,17,0
122606,17,0
124357,17,0
133411,17,2
139313,17,0
9121,17,1
40800,17,1
70892,17,2
94517,17,1
94520,17,1
123538,17,1
141929,17,1
146563,17,1
79696,17,2
84047,17,2
135443,17,2
139608,17,2
13,19,0
107516,19,1
120539,19,2
94517,19,1
132454,19,1
13,23,0
59802,23,0
124357,23,0
13,16,1
59802,16,0
79696,16,2
17,34,0
17522,34,0
43324,34,0
50815,34,0
53498,34,0
54148,34,0
64673,34,0
77924,34,0
84295,34,0
101994,34,0
102280,34,0
117808,34,0
131547,34,0
132719,34,0
4342,34,1
7961,34,1
24778,34,1
56249,34,1
58412,34,1
69963,34,1
70416,34,1
70427,34,1
79330,34,1
97287,34,1
103161,34,1
103166,34,1
106981,34,1
132154,34,1
5074,34,2
14446,34,2
34274,34,2
67352,34,2
87392,34,2
112229,34,2
112271,34,2
112834,34,2
119695,34,2
128289,34,2
128715,34,2
136272,34,2
143458,34,2
144478,34,2
39,59,0
17451,59,0
27239,59,0
48157,59,0
63533,59,0
1700,59,1
81766,59,1
137962,59,1
137964,59,1
151732,59,1
56142,59,2
56920,59,2
139822,59,2
151724,59,2
151725,59,2
60,87,0
47255,87,0
96509,87,0
147481,87,0
52775,87,1
62311,87,2
112308,87,1
125942,87,1
143303,87,1
17863,87,2
58164,87,2
117266,87,2
79,106,0
82187,106,0
86093,106,0
110139,106,0
3749,106,1
17919,106,1
37121,106,1
48694,106,1
118172,106,2
118175,106,2
138587,106,2
148549,106,2
80,107,0
106,107,0
19400,107,0
33936,107,0
41220,107,0
47774,107,0
47782,107,0
48028,107,0
51608,107,0
67184,107,0
67193,107,0
68640,107,0
98794,107,0
104089,107,0
107698,107,0
9719,107,1
11333,107,1
30325,107,1
38710,107,1
38711,107,1
45525,107,1
45774,107,1
58335,107,1
83778,107,1
86448,107,1
113470,107,1
118767,107,1
119722,107,1
141277,107,1
6566,107,2
6945,107,2
46642,107,2
51868,107,2
52085,107,2
52273,107,2
52286,107,2
53195,107,2
61217,107,2
62666,107,2
109837,107,2
128913,107,2
128926,107,2
133970,107,2
81,108,0
751,108,0
9057,108,0
33937,108,0
41221,108,0
47775,108,0
47783,108,0
51609,108,0
58467,108,0
65144,108,0
67185,108,0
67194,108,0
98795,108,0
104090,108,0
132289,108,0
3311,108,1
8595,108,1
13343,108,1
19342,108,1
28773,108,1
36691,108,1
48635,108,1
58805,108,1
73235,108,1
76704,108,1
83487,108,1
101092,108,1
135257,108,1
149090,108,1
149342,108,1
4729,108,2
4757,108,2
34453,108,2
37624,108,2
37632,108,2
52071,108,2
62660,108,2
64128,108,2
66631,108,2
67478,108,2
77750,108,2
101003,108,2
