EventID,SportID,VenueID,Event,Year,Season
1,1,1,Basketball Men's Basketball,1992,Summer
2,2,2,Judo Men's Extra-Lightweight,2012,Summer
3,3,3,Football Men's Football,1920,Summer
4,4,4,Tug-Of-War Men's Tug-Of-War,1900,Summer
5,5,5,Athletics Women's 100 metres,1932,Summer
6,5,5,Athletics Women's 4 x 100 metres Relay,1932,Summer
7,6,6,Swimming Men's 400 metres Freestyle,1952,Summer
8,7,7,Badminton Men's Singles,2000,Summer
9,8,8,Sailing Women's Windsurfer,1996,Summer
10,8,7,Sailing Women's Windsurfer,2000,Summer
11,6,9,Swimming Men's 200 metres Breaststroke,1912,Summer
12,6,9,Swimming Men's 400 metres Breaststroke,1912,Summer
13,6,3,Swimming Men's 200 metres Breaststroke,1920,Summer
14,6,3,Swimming Men's 400 metres Breaststroke,1920,Summer
15,6,4,Swimming Men's 200 metres Breaststroke,1924,Summer
16,9,2,Gymnastics Men's Individual All-Around,1948,Summer
17,9,2,Gymnastics Men's Team All-Around,1948,Summer
18,9,2,Gymnastics Men's Floor Exercise,1948,Summer
19,9,2,Gymnastics Men's Horse Vault,1948,Summer
20,9,2,Gymnastics Men's Parallel Bars,1948,Summer
21,9,2,Gymnastics Men's Horizontal Bar,1948,Summer
22,9,2,Gymnastics Men's Rings,1948,Summer
23,9,2,Gymnastics Men's Pommelled Horse,1948,Summer
24,9,6,Gymnastics Men's Individual All-Around,1952,Summer
25,9,6,Gymnastics Men's Team All-Around,1952,Summer
26,9,6,Gymnastics Men's Floor Exercise,1952,Summer
27,9,6,Gymnastics Men's Horse Vault,1952,Summer
28,9,6,Gymnastics Men's Parallel Bars,1952,Summer
29,9,6,Gymnastics Men's Horizontal Bar,1952,Summer
30,9,6,Gymnastics Men's Rings,1952,Summer
31,9,6,Gymnastics Men's Pommelled Horse,1952,Summer
32,5,7,Athletics Men's Shot Put,2000,Summer
33,10,2,"Art Competitions Mixed Sculpturing, Unknown Event",1948,Summer
34,11,10,Handball Women's Handball,2008,Summer
35,12,11,Weightlifting Women's Super-Heavyweight,2016,Summer
36,13,7,"Wrestling Men's Light-Heavyweight, Greco-Roman",2000,Summer
37,13,12,"Wrestling Men's Light-Heavyweight, Greco-Roman",2004,Summer
38,9,3,"Gymnastics Men's Team All-Around, Free System",1920,Summer
39,14,5,Water Polo Men's Water Polo,1984,Summer
40,8,13,Sailing Mixed Three Person Keelboat,1968,Summer
41,8,14,Sailing Mixed Three Person Keelboat,1972,Summer
42,15,15,Hockey Women's Hockey,1988,Summer
43,16,8,Rowing Men's Lightweight Double Sculls,1996,Summer
44,16,7,Rowing Men's Lightweight Double Sculls,2000,Summer
45,5,16,Athletics Men's Pole Vault,1936,Summer
46,5,9,Athletics Men's High Jump,1912,Summer
47,8,1,Sailing Men's Two Person Dinghy,1992,Summer
48,8,8,Sailing Men's Two Person Dinghy,1996,Summer
49,5,2,"Athletics Men's 1,500 metres",2012,Summer
50,6,8,Swimming Men's 100 metres Butterfly,1996,Summer
51,6,8,Swimming Men's 200 metres Butterfly,1996,Summer
52,6,8,Swimming Men's 4 x 100 metres Medley Relay,1996,Summer
53,6,7,Swimming Men's 100 metres Butterfly,2000,Summer
54,6,7,Swimming Men's 200 metres Butterfly,2000,Summer
55,3,8,Football Women's Football,1996,Summer
56,17,9,"Fencing Men's Foil, Individual",1912,Summer
57,17,9,"Fencing Men's epee, Individual",1912,Summer
58,17,9,"Fencing Men's epee, Team",1912,Summer
59,8,9,Sailing Mixed 8 metres,1912,Summer
60,18,1,"Equestrianism Mixed Jumping, Individual",1992,Summer
61,19,16,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",1936,Summer
62,19,16,"Shooting Men's Rapid-Fire Pistol, 25 metres",1936,Summer
63,19,2,"Shooting Men's Rapid-Fire Pistol, 25 metres",1948,Summer
64,19,6,Shooting Men's Trap,1952,Summer
65,19,17,Shooting Men's Trap,1956,Summer
66,19,18,Shooting Men's Trap,1960,Summer
67,5,3,Athletics Men's 4 x 100 metres Relay,1920,Summer
68,5,3,Athletics Men's Long Jump,1920,Summer
69,5,4,Athletics Men's Long Jump,1924,Summer
70,5,19,Athletics Men's Long Jump,1928,Summer
71,20,2,Boxing Men's Light-Welterweight,2012,Summer
72,5,12,Athletics Women's Javelin Throw,2004,Summer
73,5,10,Athletics Women's Javelin Throw,2008,Summer
74,13,1,"Wrestling Men's Heavyweight, Freestyle",1992,Summer
75,13,8,"Wrestling Men's Heavyweight, Freestyle",1996,Summer
76,9,11,Gymnastics Men's Individual All-Around,2016,Summer
77,9,11,Gymnastics Men's Floor Exercise,2016,Summer
78,9,11,Gymnastics Men's Parallel Bars,2016,Summer
79,9,11,Gymnastics Men's Horizontal Bar,2016,Summer
80,9,11,Gymnastics Men's Rings,2016,Summer
81,9,11,Gymnastics Men's Pommelled Horse,2016,Summer
82,5,20,Athletics Men's Pole Vault,1976,Summer
83,21,7,Taekwondo Men's Flyweight,2000,Summer
84,20,2,Boxing Men's Heavyweight,1948,Summer
85,5,11,"Athletics Men's 5,000 metres",2016,Summer
86,22,17,"Cycling Men's Road Race, Individual",1956,Summer
87,22,17,"Cycling Men's Road Race, Team",1956,Summer
88,20,15,Boxing Men's Light-Welterweight,1988,Summer
89,22,4,"Cycling Men's Road Race, Individual",1924,Summer
90,22,4,"Cycling Men's Road Race, Team",1924,Summer
91,12,17,Weightlifting Men's Lightweight,1956,Summer
92,12,18,Weightlifting Men's Middleweight,1960,Summer
93,3,18,Football Men's Football,1960,Summer
94,16,11,Rowing Men's Coxless Pairs,2016,Summer
95,17,10,"Fencing Men's epee, Individual",2008,Summer
96,2,1,Judo Men's Half-Middleweight,1992,Summer
97,21,11,Taekwondo Women's Flyweight,2016,Summer
98,20,14,Boxing Men's Flyweight,1972,Summer
99,5,2,Athletics Women's Javelin Throw,2012,Summer
100,6,7,Swimming Men's 4 x 100 metres Medley Relay,2000,Summer
101,1,10,Basketball Women's Basketball,2008,Summer
102,23,7,Diving Men's Platform,2000,Summer
103,24,1,"Canoeing Men's Canadian Doubles, 500 metres",1992,Summer
104,24,1,"Canoeing Men's Canadian Doubles, 1,000 metres",1992,Summer
105,24,12,"Canoeing Men's Kayak Fours, 1,000 metres",2004,Summer
106,24,10,"Canoeing Men's Kayak Fours, 1,000 metres",2008,Summer
107,11,10,Handball Men's Handball,2008,Summer
108,11,2,Handball Men's Handball,2012,Summer
109,11,11,Handball Men's Handball,2016,Summer
110,16,2,Rowing Women's Coxless Pairs,2012,Summer
111,17,12,"Fencing Men's epee, Individual",2004,Summer
112,3,7,Football Men's Football,2000,Summer
113,20,13,Boxing Men's Middleweight,1968,Summer
114,2,8,Judo Men's Lightweight,1996,Summer
115,20,4,Boxing Men's Featherweight,1924,Summer
116,14,8,Water Polo Men's Water Polo,1996,Summer
117,3,12,Football Men's Football,2004,Summer
118,25,7,Tennis Men's Doubles,2000,Summer
119,19,1,Shooting Mixed Skeet,1992,Summer
120,13,12,"Wrestling Men's Featherweight, Freestyle",2004,Summer
121,8,20,Sailing Mixed Two Person Heavyweight Dinghy,1976,Summer
122,8,21,Sailing Mixed Two Person Heavyweight Dinghy,1980,Summer
123,8,5,Sailing Mixed Two Person Heavyweight Dinghy,1984,Summer
124,5,21,"Athletics Men's 1,500 metres",1980,Summer
125,5,5,"Athletics Men's 1,500 metres",1984,Summer
126,13,22,"Wrestling Men's Light-Heavyweight, Greco-Roman",1964,Summer
127,5,21,Athletics Women's Shot Put,1980,Summer
128,16,5,Rowing Men's Coxed Eights,1984,Summer
129,22,12,Cycling Women's Sprint,2004,Summer
130,22,12,Cycling Women's 500 metres Time Trial,2004,Summer
131,5,2,Athletics Men's 110 metres Hurdles,2012,Summer
132,3,10,Football Men's Football,2008,Summer
133,11,12,Handball Men's Handball,2004,Summer
134,19,5,Shooting Mixed Trap,1984,Summer
135,5,12,Athletics Women's Marathon,2004,Summer
136,5,12,Athletics Men's 100 metres,2004,Summer
137,5,20,Athletics Men's High Jump,1976,Summer
138,17,13,"Fencing Men's Foil, Individual",1968,Summer
139,17,13,"Fencing Men's Foil, Team",1968,Summer
140,17,13,"Fencing Men's Sabre, Team",1968,Summer
141,17,1,"Fencing Men's Sabre, Team",1992,Summer
142,6,16,Swimming Men's 100 metres Freestyle,1936,Summer
143,6,16,Swimming Men's 4 x 200 metres Freestyle Relay,1936,Summer
144,20,14,Boxing Men's Lightweight,1972,Summer
145,3,19,Football Men's Football,1928,Summer
146,26,16,Modern Pentathlon Men's Individual,1936,Summer
