VenueID,City
1,Barcelona
2,London
3,Antwerpen
4,Paris
5,Los Angeles
6,Helsinki
7,Sydney
8,Atlanta
9,Stockholm
10,Beijing
11,Rio de Janeiro
12,Athina
13,Mexico City
14,Munich
15,Seoul
16,Berlin
17,Melbourne
18,Roma
19,Amsterdam
20,Montreal
21,Moskva
22,Tokyo
23,St. Louis
24,Calgary
25,Albertville
26,Lillehammer
27,Salt Lake City
28,Lake Placid
29,Sochi
30,Nagano
31,Torino
32,Squaw Valley
33,Innsbruck
34,Sarajevo
35,Oslo
36,Cortina d'Ampezzo
37,Vancouver
38,Grenoble
39,Sapporo
40,Chamonix
41,Sankt Moritz
42,Garmisch-Partenkirchen
